idx,weekday,wd_name,hour,minute,week1,week2,week3,week4,top100_mre,overall_mre
224,1,Tue,12,40,2018-09-04 12:40:00,2018-09-11 12:40:00,2018-09-18 12:40:00,2018-09-25 12:40:00,0.364311,0.991807
225,1,Tue,16,25,2018-09-04 16:25:00,2018-09-11 16:25:00,2018-09-18 16:25:00,2018-09-25 16:25:00,0.280200,1.115960
226,1,Tue,0,40,2018-09-04 00:40:00,2018-09-11 00:40:00,2018-09-18 00:40:00,2018-09-25 00:40:00,0.688097,0.205555
227,1,Tue,22,05,2018-09-04 22:05:00,2018-09-11 22:05:00,2018-09-18 22:05:00,2018-09-25 22:05:00,0.586239,0.513933
228,1,Tue,3,05,2018-09-04 03:05:00,2018-09-11 03:05:00,2018-09-18 03:05:00,2018-09-25 03:05:00,0.669714,0.172656
229,1,Tue,21,30,2018-09-04 21:30:00,2018-09-11 21:30:00,2018-09-18 21:30:00,2018-09-25 21:30:00,0.616992,0.601872
230,1,Tue,13,15,2018-09-04 13:15:00,2018-09-11 13:15:00,2018-09-18 13:15:00,2018-09-25 13:15:00,0.385371,0.939022
231,1,Tue,3,30,2018-09-04 03:30:00,2018-09-11 03:30:00,2018-09-18 03:30:00,2018-09-25 03:30:00,0.634468,0.158960
232,1,Tue,20,15,2018-09-04 20:15:00,2018-09-11 20:15:00,2018-09-18 20:15:00,2018-09-25 20:15:00,0.508273,0.792665
233,1,Tue,11,25,2018-09-04 11:25:00,2018-09-11 11:25:00,2018-09-18 11:25:00,2018-09-25 11:25:00,0.374352,0.953920
234,1,Tue,20,05,2018-09-04 20:05:00,2018-09-11 20:05:00,2018-09-18 20:05:00,2018-09-25 20:05:00,0.556888,0.838823
235,1,Tue,13,40,2018-09-04 13:40:00,2018-09-11 13:40:00,2018-09-18 13:40:00,2018-09-25 13:40:00,0.296849,1.024185
236,1,Tue,4,50,2018-09-04 04:50:00,2018-09-11 04:50:00,2018-09-18 04:50:00,2018-09-25 04:50:00,0.598745,0.210881
237,1,Tue,13,55,2018-09-04 13:55:00,2018-09-11 13:55:00,2018-09-18 13:55:00,2018-09-25 13:55:00,0.282008,0.927307
238,1,Tue,22,20,2018-09-04 22:20:00,2018-09-11 22:20:00,2018-09-18 22:20:00,2018-09-25 22:20:00,0.531926,0.483043
239,1,Tue,0,10,2018-09-04 00:10:00,2018-09-11 00:10:00,2018-09-18 00:10:00,2018-09-25 00:10:00,0.607247,0.277422
240,2,Wed,20,35,2018-09-05 20:35:00,2018-09-12 20:35:00,2018-09-19 20:35:00,2018-09-26 20:35:00,0.434540,0.801019
241,2,Wed,15,55,2018-09-05 15:55:00,2018-09-12 15:55:00,2018-09-19 15:55:00,2018-09-26 15:55:00,0.316947,1.031517
242,2,Wed,17,20,2018-09-05 17:20:00,2018-09-12 17:20:00,2018-09-19 17:20:00,2018-09-26 17:20:00,0.303042,1.013508
243,2,Wed,7,05,2018-09-05 07:05:00,2018-09-12 07:05:00,2018-09-19 07:05:00,2018-09-26 07:05:00,0.357537,0.535585
244,2,Wed,20,00,2018-09-05 20:00:00,2018-09-12 20:00:00,2018-09-19 20:00:00,2018-09-26 20:00:00,0.570760,0.837369
245,2,Wed,8,10,2018-09-05 08:10:00,2018-09-12 08:10:00,2018-09-19 08:10:00,2018-09-26 08:10:00,0.277505,0.804953
246,2,Wed,13,15,2018-09-05 13:15:00,2018-09-12 13:15:00,2018-09-19 13:15:00,2018-09-26 13:15:00,0.404597,0.957722
247,2,Wed,12,45,2018-09-05 12:45:00,2018-09-12 12:45:00,2018-09-19 12:45:00,2018-09-26 12:45:00,0.392236,0.986425
248,2,Wed,8,45,2018-09-05 08:45:00,2018-09-12 08:45:00,2018-09-19 08:45:00,2018-09-26 08:45:00,0.360171,1.201254
249,2,Wed,7,10,2018-09-05 07:10:00,2018-09-12 07:10:00,2018-09-19 07:10:00,2018-09-26 07:10:00,0.396833,0.560334
250,2,Wed,8,35,2018-09-05 08:35:00,2018-09-12 08:35:00,2018-09-19 08:35:00,2018-09-26 08:35:00,0.366392,1.062521
251,2,Wed,15,50,2018-09-05 15:50:00,2018-09-12 15:50:00,2018-09-19 15:50:00,2018-09-26 15:50:00,0.302044,0.900902
252,2,Wed,2,00,2018-09-05 02:00:00,2018-09-12 02:00:00,2018-09-19 02:00:00,2018-09-26 02:00:00,0.681279,0.139365
253,2,Wed,17,40,2018-09-05 17:40:00,2018-09-12 17:40:00,2018-09-19 17:40:00,2018-09-26 17:40:00,0.419821,1.097900
254,2,Wed,16,45,2018-09-05 16:45:00,2018-09-12 16:45:00,2018-09-19 16:45:00,2018-09-26 16:45:00,0.367686,0.985000
255,2,Wed,9,10,2018-09-05 09:10:00,2018-09-12 09:10:00,2018-09-19 09:10:00,2018-09-26 09:10:00,0.365165,0.960576
256,2,Wed,19,15,2018-09-05 19:15:00,2018-09-12 19:15:00,2018-09-19 19:15:00,2018-09-26 19:15:00,0.404718,0.922708
257,2,Wed,2,35,2018-09-05 02:35:00,2018-09-12 02:35:00,2018-09-19 02:35:00,2018-09-26 02:35:00,0.669411,0.142767
258,2,Wed,16,25,2018-09-05 16:25:00,2018-09-12 16:25:00,2018-09-19 16:25:00,2018-09-26 16:25:00,0.301566,1.018791
259,2,Wed,3,45,2018-09-05 03:45:00,2018-09-12 03:45:00,2018-09-19 03:45:00,2018-09-26 03:45:00,0.590760,0.199996
