bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
0,0.0,13.0,7.666666666666667,13.666666666666666,15.0,12.111111111111109,3.189488909868294,0.8888888888888911
1,0.08333333333333333,13.333333333333334,17.666666666666668,10.666666666666666,9.666666666666666,12.666666666666666,3.5590260840104375,0.6666666666666679
2,0.16666666666666666,11.666666666666666,14.666666666666666,7.666666666666667,17.333333333333332,13.222222222222221,4.0764302950764755,-1.5555555555555554
3,0.25,18.333333333333332,6.0,20.666666666666668,20.333333333333332,15.666666666666666,6.8367200279622935,2.666666666666666
4,0.3333333333333333,19.0,7.333333333333333,9.666666666666666,24.0,13.666666666666666,7.368602058484113,5.333333333333334
5,0.4166666666666667,7.666666666666667,4.0,18.666666666666668,19.666666666666668,14.111111111111112,7.161281353032009,-6.4444444444444455
6,0.5,9.666666666666666,13.333333333333334,7.333333333333333,22.333333333333332,14.333333333333334,6.164414002968976,-4.666666666666668
7,0.5833333333333334,11.666666666666666,7.333333333333333,7.0,9.333333333333334,7.888888888888888,1.0304020550550785,3.7777777777777777
8,0.6666666666666666,12.0,6.333333333333333,8.666666666666666,7.333333333333333,7.444444444444444,0.9558139185602917,4.555555555555556
9,0.75,20.333333333333332,12.333333333333334,17.666666666666668,10.666666666666666,13.555555555555555,2.985561965009868,6.777777777777777
10,0.8333333333333334,21.0,7.666666666666667,11.0,13.666666666666666,10.777777777777779,2.4545246704860575,10.222222222222221
11,0.9166666666666666,11.0,9.666666666666666,11.666666666666666,11.0,10.777777777777777,0.8314794192830981,0.2222222222222232
12,1.0,10.333333333333334,8.0,14.333333333333334,8.0,10.111111111111112,2.9855619650098673,0.22222222222222143
13,1.0833333333333333,22.0,14.333333333333334,6.0,12.666666666666666,11.0,3.600411499115478,11.0
14,1.1666666666666667,17.333333333333332,11.333333333333334,7.333333333333333,13.333333333333334,10.666666666666666,2.4944382578492945,6.666666666666666
15,1.25,17.666666666666668,9.666666666666666,5.666666666666667,5.333333333333333,6.888888888888888,1.968893905185483,10.777777777777779
16,1.3333333333333333,18.0,7.333333333333333,5.0,8.666666666666666,7.0,1.515353521887317,11.0
17,1.4166666666666667,21.0,15.333333333333334,11.666666666666666,17.333333333333332,14.777777777777777,2.3465235646603193,6.222222222222223
18,1.5,17.666666666666668,15.333333333333334,17.333333333333332,20.666666666666668,17.777777777777775,2.1998877636914815,-0.11111111111110716
19,1.5833333333333333,7.0,19.666666666666668,16.333333333333332,19.666666666666668,18.555555555555557,1.5713484026367734,-11.555555555555557
20,1.6666666666666667,9.0,15.333333333333334,24.666666666666668,16.666666666666668,18.88888888888889,4.121608220220313,-9.88888888888889
21,1.75,6.333333333333333,7.333333333333333,21.666666666666668,19.666666666666668,16.222222222222225,6.338204754200739,-9.888888888888893
22,1.8333333333333333,4.333333333333333,9.0,12.666666666666666,12.666666666666666,11.444444444444443,1.7284832429004493,-7.11111111111111
23,1.9166666666666667,4.666666666666667,14.666666666666666,13.0,9.666666666666666,12.444444444444443,2.078698548207745,-7.777777777777776
